Country,Mauritius,,,,,,,,,,,
Variable,CPI,p90p100,p50p90,p0p50,p99p100,Nat Inc pAdult,Nat Inc pAdult,Nat Wealth pAdult,Wealth-Inc Ratio,10/50 Ratio,Pop,
1998,5,0.4578,0.3901,0.152,0.1374,12783.4058,13855.7675,51900.9383,4.060023785,,, 
1999,4.9,0.4578,0.3901,0.152,0.1374,13690.6223,14101.1992,57756.4098,4.21868372,,,
2000,4.7,0.4578,0.3901,0.152,0.1374,14002.9229,14826.9775,61241.5769,4.373485088,,,
2001,4.6,0.4578,0.3901,0.152,0.1374,14514.1506,15197.6426,66289.7585,4.567249775,,,
2002,4.5,0.4578,0.3901,0.152,0.1374,15420.4451,15329.9491,83515.9722,5.41592598,,,
2003,4.4,0.4578,0.3901,0.152,0.1374,16528.3231,16352.6022,100961.2035,6.108375072,,,
2004,4.2,0.4578,0.3901,0.152,0.1374,17623.773,17111.8549,116439.9752,6.606983662,,1221000,
2005,4.2,0.4578,0.3901,0.152,0.1374,18699.1575,17256.2443,137877.61,7.373466015,,1222003,
2006,5.2,0.4578,0.3901,0.152,0.1374,20726.5582,17804.3692,165375.369,7.978910923,,1234000,
2007,4.7,0.4643,0.3857,0.1501,0.1429,22809.3805,18402.8089,198724.8147,8.712417603,,1234000,
2008,5.5,0.4707,0.3812,0.1481,0.1483,22844.7621,18980.1055,211455.489,9.256192207,,1244000,
2009,5.4,0.4772,0.3767,0.1461,0.1538,21675.8293,18975.0324,226299.5468,10.44017982,,1247000,
2010,5,0.4836,0.3723,0.1441,0.1592,21160.6821,18659.57,215913.4322,10.20352077,,1250000,
2011,5.1,0.49,0.3678,0.1421,0.1647,21634.583,19292.924,185208.2419,8.560749054,,1256000,
2012,5.7,0.4965,0.3634,0.1402,0.1701,22863.2529,19734.7987,165462.9516,7.23706913,,1259000,
2013,5.2,0.492,0.3663,0.1417,0.1679,24729.7058,20167.4997,162905.34,6.587435722,,1259200,
2014,5.4,0.4875,0.3692,0.1433,0.1656,28479.81,20688.6505,174933.7158,6.142376423,,1259395,
2015,5.3,0.483,0.3721,0.1449,0.1634,26817.5298,21190.0686,163605.2472,6.100682735,,1259456,
2016,5.4,0.4785,0.375,0.1465,0.1612,24214.6176,21792.4279,146988.0027,6.070217133,,1261865,
2017,5,0.474,0.3779,0.1481,0.1589,25047.5091,22415.3788,150349.0267,6.002553463,,1264499,
2018,5.1,0.474,0.3779,0.1481,0.1589,26602.676,23049.958,157174.7778,5.908232212,,1267185,
2019,5.3,0.474,0.3779,0.1481,0.1589,21035.4949,23534.1694,124748.1133,5.930362701,,1269668,
,,,,,,,,,,,,